0.43876,0.57225,0.67755,0.83975
0.44047,0.54984,0.68277,0.78905
0.43975,0.53931,0.6624,0.79724
0.42202,0.54283,0.68037,0.81274
0.42722,0.54916,0.6752,0.81759
0.45316,0.56031,0.67011,0.78552
0.45758,0.5498,0.67847,0.80496
0.44116,0.54281,0.6879,0.79816
0.45779,0.54387,0.6549,0.81313
0.46041,0.54891,0.69404,0.85542
0.44555,0.55323,0.67657,0.79572
0.44667,0.53549,0.68874,0.77886
0.44338,0.54868,0.68927,0.826
0.434,0.53925,0.67894,0.86529
0.46299,0.53808,0.70456,0.79895
0.44676,0.54337,0.68455,0.83357
0.44324,0.5292,0.6661,0.83374
0.44796,0.5293,0.67458,0.88562
0.42594,0.54589,0.6316,0.77942
0.4322,0.5479,0.68851,0.82672
0.44279,0.5612,0.69439,0.81923
0.46958,0.56,0.67686,0.80487
0.43852,0.54681,0.68369,0.86041
0.45493,0.56072,0.6711,0.81299
0.45963,0.56661,0.66646,0.7626
0.44101,0.51424,0.68188,0.81253
0.45056,0.55276,0.65426,0.79322
0.43557,0.54918,0.68524,0.80897
0.43493,0.52133,0.67555,0.85407
0.45094,0.54906,0.73416,0.81075
0.42159,0.54256,0.69266,0.83052
0.44038,0.55798,0.68402,0.82224
0.43323,0.52984,0.65839,0.79215
0.44331,0.54918,0.674,0.79697
0.43688,0.53475,0.69109,0.79489
0.45739,0.54291,0.64803,0.84319
0.42555,0.52969,0.67342,0.78123
0.44577,0.54217,0.68351,0.81079
0.42643,0.5562,0.66324,0.81814
0.45338,0.52722,0.67821,0.80162
0.41736,0.56705,0.70178,0.84853
0.42577,0.53817,0.71383,0.80279
0.43161,0.55017,0.62511,0.82403
0.45069,0.52794,0.68472,0.78151
0.45416,0.58439,0.68653,0.80443
0.42978,0.5326,0.71596,0.80524
0.45006,0.53515,0.66022,0.80803
0.4448,0.56136,0.66498,0.79767
0.46369,0.52536,0.70565,0.82976
0.43341,0.54144,0.66903,0.81724
0.45051,0.57,0.71716,0.82676
0.44085,0.55726,0.67192,0.82934
0.43812,0.55449,0.66754,0.81954
0.44316,0.55962,0.66457,0.845
0.42737,0.56175,0.66066,0.81168
