0.747,0.74068,0.71653,0.68609,0.66144
0.67475,0.66693,0.64932,0.63008,0.61244
0.6164,0.60711,0.59615,0.58263,0.56854
0.55891,0.55249,0.547,0.53692,0.52557
0.50877,0.50708,0.50387,0.49632,0.48555
0.46968,0.46761,0.46482,0.45889,0.45002
0.43714,0.43281,0.42995,0.42466,0.41639
0.39948,0.39764,0.39582,0.39053,0.38305
0.38347,0.37949,0.36288,0.35535,0.35366
0.34975,0.34908,0.34357,0.32601,0.31987
0.31696,0.31663,0.31232,0.30351,0.29326
0.28614,0.28704,0.28448,0.27732,0.27057
0.25818,0.26109,0.25847,0.25015,0.24635
0.23181,0.23418,0.23263,0.22825,0.22499
0.21442,0.21496,0.21425,0.21105,0.20827
0.20211,0.20493,0.20407,0.20008,0.19687
0.20954,0.19251,0.19314,0.18881,0.18576
0.17842,0.18455,0.18243,0.1777,0.17418
0.16678,0.17372,0.1746,0.16908,0.16424
0.16444,0.15975,0.16042,0.15618,0.1533
