0.40874,0.44805,0.47979,0.51725,0.5661
0.46499,0.47896,0.504,0.5448,0.58406
0.48802,0.50426,0.52541,0.5622,0.59563
0.52016,0.52769,0.54746,0.57753,0.60422
0.54369,0.56009,0.57452,0.59555,0.61279
0.55509,0.56675,0.58542,0.60103,0.61668
0.58173,0.5871,0.59974,0.61173,0.62644
0.59318,0.60026,0.60833,0.61971,0.63442
0.60433,0.6091,0.61406,0.62372,0.63912
0.60582,0.60932,0.61692,0.62853,0.64177
0.5983,0.60601,0.6224,0.63604,0.64711
0.60212,0.6131,0.62951,0.64064,0.65293
0.59894,0.60981,0.62837,0.64361,0.65621
0.59821,0.60913,0.63102,0.65014,0.66468
0.60233,0.61382,0.63599,0.65319,0.66846
0.61297,0.62674,0.64881,0.6637,0.6757
0.61107,0.62763,0.6568,0.67421,0.68729
0.62069,0.64147,0.6666,0.68166,0.69346
0.63208,0.64737,0.66722,0.68613,0.69988
0.64934,0.65549,0.67512,0.69236,0.70718
