63.754,61.925,58.37,55.625,53.507
43.625,43.048,43.36,43.05,41.501
38.419,37.897,38.115,37.658,36.598
32.563,32.135,32.09,31.269,30.246
29.125,29.801,29.582,28.382,27.62
29.193,29.077,28.5,27.057,26.493
29.239,28.103,27.478,26.291,25.135
26.163,25.708,24.599,23.882,23.101
24.763,23.635,23.221,22.862,22.302
22.646,23.121,22.867,22.9,22.456
21.392,22.796,23.377,22.742,22.061
22.781,23.086,22.343,21.476,20.708
21.314,22.082,21.152,20.483,19.963
19.656,21.391,20.801,19.935,19.397
19.507,21.094,20.369,19.704,19.046
20.415,20.838,19.895,19.205,18.727
21.037,20.252,19.592,18.877,18.345
18.491,19.081,18.679,18.366,17.999
18.447,18.627,18.217,17.987,17.641
18.994,18.694,18.083,17.751,17.408
