0.39021,0.44054,0.54763,0.67958,0.81866
0.72344,0.74657,0.83213,0.9405,1.0628
1.0451,1.07,1.1362,1.2289,1.3358
1.3822,1.4028,1.4529,1.5298,1.6215
1.7234,1.7358,1.7756,1.8384,1.9177
2.0595,2.0697,2.0988,2.1503,2.2194
2.3886,2.3942,2.418,2.4605,2.5191
2.7142,2.7162,2.7325,2.7656,2.8171
3.0302,3.0279,3.0379,3.0624,3.1018
3.3302,3.3252,3.3292,3.3496,3.3825
3.6109,3.6044,3.6032,3.6189,3.6469
3.8783,3.8651,3.8615,3.8728,3.8978
4.1337,4.1143,4.1067,4.1152,4.1377
4.3721,4.3498,4.3366,4.3435,4.3604
4.5961,4.5745,4.5596,4.564,4.5787
4.8016,4.7827,4.7687,4.7716,4.7839
4.9916,4.9726,4.9626,4.9665,4.9802
5.1799,5.1582,5.1468,5.1554,5.163
5.356,5.3338,5.3251,5.3318,5.3423
5.5208,5.4994,5.4918,5.5028,5.512
