22.132,21.587,21.705,20.397,18.683
13.837,13.814,14.411,13.68,12.799
19.111,18.472,16.261,9.9,6.6921
14.847,9.0289,6.7158,4.3658,4.2
6.7395,6.6039,3.7632,3.8737,4.1368
4.3421,4.4303,4.3289,4.5382,4.7079
4.5868,4.1421,4.1526,3.8408,3.7974
3.7895,3.5711,3.5592,3.5382,3.3342
3.5579,3.5526,3.6145,3.575,3.1882
4.5789,4.1211,4.0053,3.4434,3.0145
4.8974,4.5105,3.5592,2.9579,2.9013
3.7711,3.6342,2.9263,2.8724,2.8263
3.3763,3.1368,2.9789,2.9237,2.8342
3.8158,3.3434,3.0342,2.9026,2.7658
3.6763,3.4237,3.0605,2.8737,2.7197
3.6263,3.2763,2.9789,2.7816,2.6974
2.9868,3.1697,2.8342,2.7579,2.6711
3.1237,3.0342,2.8632,2.7526,2.6158
2.8658,2.8855,2.7855,2.6632,2.5289
2.9184,2.7947,2.6895,2.5684,2.5
