43,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,39,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,33,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,6,31,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,10,26,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,10,28,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,7,28,11,1,2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,8,30,12,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,9,27,13,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,9,28,11,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,5,32,12,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,34,10,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,4,35,10,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,3,37,9,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,2,2,36,8,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,39,8,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,39,5,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,42,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,43,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,47
