1 1 104.0
1 2 15.0
2 1 15.0
2 2 84.0
2 3 23.0
3 2 23.0
3 3 69.0
3 4 26.0
3 5 2.0
4 3 28.0
4 4 62.0
4 5 28.0
4 6 1.0
5 4 31.0
5 5 60.0
5 6 30.0
6 5 31.0
6 6 57.0
6 7 31.0
7 6 31.0
7 7 59.0
7 8 31.0
8 7 31.0
8 8 58.0
8 9 31.0
9 8 31.0
9 9 58.0
9 10 28.0
9 11 3.0
10 9 31.0
10 10 59.0
10 11 28.0
11 10 31.0
11 11 60.0
11 12 26.0
11 13 3.0
12 11 29.0
12 12 67.0
12 13 22.0
12 14 2.0
13 12 27.0
13 13 72.0
13 14 21.0
13 15 1.0
14 13 24.0
14 14 76.0
14 15 19.0
14 16 1.0
15 14 21.0
15 15 78.0
15 16 19.0
16 15 20.0
16 16 86.0
16 17 17.0
17 16 17.0
17 17 86.0
17 18 16.0
17 20 1.0
18 17 16.0
18 18 87.0
18 19 15.0
18 23 1.0
19 18 15.0
19 19 97.0
19 20 11.0
19 22 1.0
19 24 1.0
19 25 1.0
20 19 13.0
20 20 92.0
20 21 10.0
20 22 4.0
20 23 1.0
20 25 1.0
20 28 1.0
21 17 1.0
21 20 10.0
21 21 76.0
21 22 13.0
21 25 1.0
22 20 3.0
22 21 13.0
22 22 84.0
22 23 17.0
22 24 2.0
22 25 2.0
22 26 1.0
23 20 2.0
23 21 1.0
23 22 16.0
23 23 80.0
23 24 19.0
23 25 1.0
23 27 1.0
24 19 1.0
24 20 3.0
24 21 1.0
24 22 2.0
24 23 16.0
24 24 76.0
24 25 23.0
24 26 2.0
25 22 2.0
25 23 3.0
25 24 22.0
25 25 65.0
25 26 24.0
25 27 2.0
26 18 1.0
26 24 4.0
26 25 22.0
26 26 65.0
26 27 25.0
27 23 2.0
27 25 2.0
27 26 23.0
27 27 72.0
27 28 27.0
28 26 2.0
28 27 25.0
28 28 68.0
28 29 27.0
28 30 1.0
29 28 26.0
29 29 69.0
29 30 25.0
30 27 1.0
30 28 1.0
30 29 24.0
30 30 70.0
30 31 25.0
30 33 1.0
31 30 24.0
31 31 67.0
31 32 27.0
32 30 2.0
32 31 25.0
32 32 69.0
32 33 24.0
32 34 1.0
33 32 25.0
33 33 74.0
33 34 22.0
33 35 1.0
34 31 1.0
34 33 23.0
34 34 76.0
34 35 16.0
35 34 17.0
35 35 104.0
